'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2016-01-30 16:40:49:732
'Access specifications
'Access specification name,default assignment
All in one,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,4,100,0,0,1,0,0,
512,4,75,0,0,1,0,0,
512,4,50,0,0,1,0,0,
512,4,25,0,0,1,0,0,
512,4,0,0,0,1,0,0,
4096,4,100,0,0,1,0,0,
4096,4,75,0,0,1,0,0,
4096,4,50,0,0,1,0,0,
4096,4,25,0,0,1,0,0,
4096,4,0,0,0,1,0,0,
4096,4,100,100,0,1,4096,0,
4096,4,50,100,0,1,4096,0,
4096,4,0,100,0,1,4096,0,
16384,3,100,0,0,1,0,0,
16384,3,75,0,0,1,0,0,
16384,3,50,0,0,1,0,0,
16384,3,25,0,0,1,0,0,
16384,3,0,0,0,1,0,0,
32768,3,100,0,0,1,0,0,
32768,3,75,0,0,1,0,0,
32768,3,50,0,0,1,0,0,
32768,3,25,0,0,1,0,0,
32768,3,0,0,0,1,0,0,
65536,3,100,0,0,1,0,0,
65536,3,50,0,0,1,0,0,
65536,3,0,0,0,1,0,0,
262144,3,100,0,0,1,0,0,
262144,3,50,0,0,1,0,0,
262144,3,0,0,0,1,0,0,
'End access specifications
'Results
'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MiBps (Binary),Read MiBps (Binary),Write MiBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
ALL,All,All in one,1,10,20,131.661015,65.788440,65.872575,4.801481,2.412462,2.389019,5.034717,2.529650,2.505068,131.661015,0.000000,151.894058,119.275773,184.470679,151.894058,0.000000,3230.718679,783.112305,3230.718679,3230.718679,0.000000,0,0,0,4359298560,4316936704,113372,113517,0,-1,,,,,,,,,,0,0,1,3.805884,2.917000,0.916098,0.097732,0.038322,,3003.260492,34.594073,35.169445,0.000000,0.521867,0,0,0,19,33,51,146,347,691,1091,3500,15719,95125,69898,26332,13179,744,14,0,0,0
MANAGER,Z3-372,All in one,,10,20,131.661015,65.788440,65.872575,4.801481,2.412462,2.389019,5.034717,2.529650,2.505068,131.661015,0.000000,151.894058,119.275773,184.470679,151.894058,0.000000,3230.718679,783.112305,3230.718679,3230.718679,0.000000,0,0,0,4359298560,4316936704,113372,113517,0,-1,42162270487,65291131305,107453401792,0,2441687,10073145,10073145,0,5373236732,0,0,1,3.805884,2.917000,0.916098,0.097732,0.038322,3117927.000000,3003.260492,34.594073,35.169445,0.000000,0.521867,0,0,0,19,33,51,146,347,691,1091,3500,15719,95125,69898,26332,13179,744,14,0,0,0
PROCESSOR,CPU 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.158037,3.189109,0.995916,0.272108,0.104308,3117927.000000,975.729342,,,,
PROCESSOR,CPU 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.305882,3.212691,1.120179,0.056236,0.020862,3117927.000000,704.801838,,,,
PROCESSOR,CPU 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.204295,3.453054,0.778230,0.044444,0.015419,3117927.000000,664.260468,,,,
PROCESSOR,CPU 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.555319,1.813148,0.770066,0.018141,0.012698,3117927.000000,658.468844,,,,
WORKER,Worker 1,All in one,,,2,13.217789,6.596998,6.620791,0.477597,0.238324,0.239273,0.500797,0.249901,0.250896,13.217789,0.000000,151.287660,118.907886,183.551071,151.287660,0.000000,3127.334925,722.207415,3127.334925,3127.334925,0.000000,0,0,0,430630912,432346112,11368,11409,0,-1,4214641773,6529357484,10743999257,0,2251790,9750802,9750802,0,5372836955,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,1,3,4,10,39,68,106,364,1608,9545,6971,2685,1308,63,2,0,0,0
DISK,C: "",,,,,4.334358,2.148319,2.186039,0.156590,0.079696,0.076893,0.164196,0.083568,0.080628,4.334358,0.000000,230.640291,123.122456,336.302894,230.640291,0.000000,3127.334925,722.207415,3127.334925,3127.334925,0.000000,0,0,0,144004608,138939392,3702,3767,0,-1,4214641773,6529357484,10743999257,0,2251790,9750802,9750802,0,5372836955,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,1,3,4,10,39,68,106,364,1608,9545,6971,2685,1308,63,2,0,0,0
DISK,D: "",,,,,8.883431,4.448679,4.434752,0.321007,0.158627,0.162380,0.336601,0.166333,0.170268,8.883431,0.000000,112.570335,116.872622,108.254537,112.570335,0.000000,716.641538,716.641538,706.570423,716.641538,0.000000,0,0,0,286626304,293406720,7666,7642,0,-1,4214641773,6529357484,10743999257,0,2251790,9750802,9750802,0,5372836955,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,1,3,4,10,39,68,106,364,1608,9545,6971,2685,1308,63,2,0,0,0
WORKER,Worker 1,All in one,,,2,13.269777,6.709164,6.560613,0.482747,0.243087,0.239660,0.506197,0.254895,0.251302,13.269777,0.000000,150.709847,119.106488,183.028797,150.709847,0.000000,3230.718679,762.300721,3230.718679,3230.718679,0.000000,0,0,0,439264768,433071616,11562,11306,0,-1,4293726001,6451999850,10745725851,0,2376798,10073145,10073145,0,5373169026,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,0,2,4,15,37,66,102,361,1609,9547,7109,2657,1291,66,2,0,0,0
